2,10.2443,-59.4808,-59.4808,2,1,0
2,10.7146,-59.3112,-59.3112,2,1,0
2,11.1862,-59.1452,-59.1452,2,1,0
2,11.659,-58.9827,-58.9827,2,1,0
2,12.1329,-58.8234,-58.8234,2,1,0
2,12.6079,-58.6673,-58.6673,2,1,0
2,13.0839,-58.5143,-58.5143,2,1,0
2,13.5608,-58.3642,-58.3642,2,1,0
2,14.0386,-58.2169,-58.2169,2,1,0
2,14.5172,-58.0723,-58.0723,2,1,0
2,14.9966,-57.9304,-57.9304,2,1,0
2,15.4768,-57.7909,-57.7909,2,1,0
2,15.9576,-57.6539,-57.6539,2,1,0
2,16.4391,-57.5192,-57.5192,2,1,0
2,16.9212,-57.3868,-57.3868,2,1,0
2,17.404,-57.2565,-57.2565,2,1,0
2,17.8872,-57.1284,-57.1284,2,1,0
2,18.3711,-57.0023,-57.0023,2,1,0
2,18.8554,-56.8781,-56.8781,2,1,0
2,19.3402,-56.7559,-56.7559,2,1,0
2,19.8255,-56.6355,-56.6355,2,1,0
2,20.3112,-56.5169,-56.5169,2,1,0
2,20.7973,-56.4,-56.4,2,1,0
2,21.2838,-56.2848,-56.2848,2,1,0
2,21.7708,-56.1713,-56.1713,2,1,0
2,22.258,-56.0593,-56.0593,2,1,0
2,22.7457,-55.9488,-55.9488,2,1,0
2,23.2336,-55.8398,-55.8398,2,1,0
2,23.7219,-55.7323,-55.7323,2,1,0
2,24.2105,-55.6262,-55.6262,2,1,0
2,24.6994,-55.5215,-55.5215,2,1,0
2,25.1886,-55.4181,-55.4181,2,1,0
2,25.6781,-55.3159,-55.3159,2,1,0
2,26.1678,-55.2151,-55.2151,2,1,0
2,26.6577,-55.1154,-55.1154,2,1,0
2,27.1479,-55.017,-55.017,2,1,0
2,27.6384,-54.9197,-54.9197,2,1,0
2,28.129,-54.8236,-54.8236,2,1,0
2,28.6199,-54.7286,-54.7286,2,1,0
2,29.111,-54.6347,-54.6347,2,1,0
2,29.6023,-54.5418,-54.5418,2,1,0
2,30.0938,-54.4499,-54.4499,2,1,0
2,30.5854,-54.3591,-54.3591,2,1,0
2,31.0773,-54.2692,-54.2692,2,1,0
2,31.5693,-54.1803,-54.1803,2,1,0
2,32.0615,-54.0923,-54.0923,2,1,0
2,32.5539,-54.0053,-54.0053,2,1,0
2,33.0464,-53.9191,-53.9191,2,1,0
2,33.539,-53.8338,-53.8338,2,1,0
2,34.0318,-53.7494,-53.7494,2,1,0
2,34.5248,-53.6658,-53.6658,2,1,0
2,35.0179,-53.583,-53.583,2,1,0
2,35.5111,-53.5011,-53.5011,2,1,0
2,36.0045,-53.4199,-53.4199,2,1,0
2,36.498,-53.3395,-53.3395,2,1,0
2,36.9916,-53.2599,-53.2599,2,1,0
2,37.4853,-53.181,-53.181,2,1,0
2,37.9792,-53.1028,-53.1028,2,1,0
2,38.4731,-53.0253,-53.0253,2,1,0
2,38.9672,-52.9486,-52.9486,2,1,0
2,39.4614,-52.8725,-52.8725,2,1,0
2,39.9556,-52.7971,-52.7971,2,1,0
2,40.45,-52.7223,-52.7223,2,1,0
2,40.9445,-52.6482,-52.6482,2,1,0
2,41.439,-52.5747,-52.5747,2,1,0
2,41.9337,-52.5019,-52.5019,2,1,0
2,42.4285,-52.4296,-52.4296,2,1,0
2,42.9233,-52.358,-52.358,2,1,0
2,43.4182,-52.287,-52.287,2,1,0
2,43.9132,-52.2165,-52.2165,2,1,0
2,44.4083,-52.1466,-52.1466,2,1,0
2,44.9035,-52.0772,-52.0772,2,1,0
2,45.3987,-52.0085,-52.0085,2,1,0
2,45.894,-51.9402,-51.9402,2,1,0
2,46.3894,-51.8725,-51.8725,2,1,0
2,46.8849,-51.8053,-51.8053,2,1,0
2,47.3804,-51.7386,-51.7386,2,1,0
2,47.876,-51.6724,-51.6724,2,1,0
2,48.3717,-51.6067,-51.6067,2,1,0
2,48.8674,-51.5415,-51.5415,2,1,0
2,49.3632,-51.4768,-51.4768,2,1,0
2,49.859,-51.4126,-51.4126,2,1,0
2,50.3549,-51.3488,-51.3488,2,1,0
2,50.8509,-51.2855,-51.2855,2,1,0
2,51.3469,-51.2226,-51.2226,2,1,0
2,51.843,-51.1602,-51.1602,2,1,0
2,52.3392,-51.0982,-51.0982,2,1,0
2,52.8354,-51.0367,-51.0367,2,1,0
2,53.3316,-50.9756,-50.9756,2,1,0
2,53.8279,-50.9148,-50.9148,2,1,0
2,54.3242,-50.8545,-50.8545,2,1,0
2,54.8206,-50.7947,-50.7947,2,1,0
2,55.3171,-50.7352,-50.7352,2,1,0
2,55.8136,-50.6761,-50.6761,2,1,0
2,56.3101,-50.6174,-50.6174,2,1,0
2,56.8067,-50.559,-50.559,2,1,0
2,57.3033,-50.5011,-50.5011,2,1,0
2,57.8,-50.4435,-50.4435,2,1,0
2,58.2967,-50.3863,-50.3863,2,1,0
2,58.7935,-50.3295,-50.3295,2,1,0
2,59.2903,-50.273,-50.273,2,1,0
2,59.7871,-50.2169,-50.2169,2,1,0
2,60.284,-50.1611,-50.1611,2,1,0
2,60.7809,-50.1056,-50.1056,2,1,0
2,61.2778,-50.0505,-50.0505,2,1,0
2,61.7748,-49.9958,-49.9958,2,1,0
2,62.2719,-49.9413,-49.9413,2,1,0
2,62.7689,-49.8872,-49.8872,2,1,0
2,63.266,-49.8334,-49.8334,2,1,0
2,63.7631,-49.7799,-49.7799,2,1,0
2,64.2603,-49.7268,-49.7268,2,1,0
2,64.7575,-49.6739,-49.6739,2,1,0
2,65.2547,-49.6213,-49.6213,2,1,0
